SALES,QUANTITY_SOLD,YEAR_GROUP
264086.8938,7494,2016
272761.2975,7738,2016
104689.4279,2958,2016
131170.5969,3713,2016
123179.4894,3504,2016
124431.0464,3534,2016
162166.836,4601,2016
354042.0232,10045,2016
327352.2614,9301,2016
164809.303,4678,2016
151157.7943,4294,2016
126895.9365,3606,2016
166395.4458,4838,2016
167796.3548,4914,2016
351146.017,10269,2016
420738.8218,12317,2016
186166.1508,5453,2016
251449.5296,7372,2016
280321.8107,8211,2016
313434.9333,9182,2016
257324.6031,7520,2016
455554.336,13321,2016
556865.2033,16276,2016
354856.0449,10388,2016
283284.5813,8298,2016
297500.674,8717,2016
285968.4878,8364,2016
237946.6327,6968,2016
340851.5059,9973,2016
388187.6014,11363,2016
139178.9841,4074,2016
66400.30305,1579,2016
42723.52446,1016,2016
35014.39948,832,2016
27210.40663,647,2016
79840.08825,1898,2016
82484.44829,1961,2016
51497.23734,1224,2016
42871.83287,1019,2016
39104.6391,930,2016
34406.75001,818,2016
39403.65856,937,2016
96830.90242,2302,2016
99380.3946,2363,2016
61656.18133,1466,2016
69163.55737,1644,2016
113112.865,3224,2016
253686.3025,7392,2016
210305.2919,6138,2016
364087.4243,10624,2016
397480.3695,11590,2016
204028.1768,5959,2016
172797.9351,5048,2016
258970.6541,7542,2016
368789.5726,10761,2016
278071.3866,8120,2016
373959.362,10896,2016
402057.2529,11726,2016
205719.4532,6007,2016
177626.9501,5185,2016
70441.90741,1675,2016
162923.8496,4765,2016
138752.5276,3953,2016
252458.2622,7190,2016
293917.8525,8577,2016
138350.1218,3943,2016
130067.2756,3707,2016
107168.6611,3054,2016
224030.5544,6541,2016
201918.2221,5749,2016
329344.2683,9385,2016
308642.9772,9012,2016
134472.4066,3831,2016
143809.7206,4097,2016
123252.1511,3509,2016
40067.15121,953,2016
143752.7368,4305,2016
389904.0086,11667,2016
461280.7856,13793,2016
221578.6968,6641,2016
253702.223,7593,2016
200616.0762,6007,2016
211700.8132,6345,2016
282757.7114,8482,2016
479010.1567,14344,2016
454543.2858,13609,2016
242185.1807,7259,2016
281531.6856,8431,2016
219363.2201,6577,2016
204005.5822,6098,2016
69579.06846,1654,2016
87184.74003,2073,2016
78700.43605,1871,2016
39809.55909,946,2016
45839.23877,1090,2016
36851.76375,876,2016
33225.67047,790,2016
30423.39146,723,2016
80345.63766,1910,2016
95297.33863,2266,2016
45324.05453,1078,2016
51604.11841,1227,2016
37870.11903,900,2016
42723.52446,1016,2016
35169.91581,836,2016
61148.20501,1454,2016
77171.7018,1835,2016
40881.35491,972,2016
43085.59501,1024,2016
43894.99343,1044,2016
67780.72889,1611,2016
51907.94315,1234,2016
93508.63389,2223,2016
95343.59551,2267,2016
59514.99233,1415,2016
65133.9662,1548,2016
70641.25372,1679,2016
48442.17148,1152,2016
46291.37192,1101,2016
73453.14329,1746,2016
71508.89795,1700,2016
30066.12618,715,2016
37726.6159,897,2016
30831.69463,733,2016
146811.4551,4282,2016
99867.32962,2867,2016
210664.8628,6082,2016
266271.0391,7771,2016
123084.0391,3576,2016
162727.5248,4649,2016
114708.946,3302,2016
122318.9075,3536,2016
112010.3445,3236,2016
229861.4703,6646,2016
249981.2497,7220,2016
136480.2491,3958,2016
127369.8026,3672,2016
43537.72816,1035,2016
120407.4133,3549,2016
226375.5431,6647,2016
337900.1782,9908,2016
355069.5401,10393,2016
153893.6852,4507,2016
159625.7409,4672,2016
133961.967,3924,2016
236305.1564,6918,2016
313491.7351,9183,2016
370355.0017,10830,2016
369091.0554,10800,2016
209026.0197,6119,2016
228177.3168,6685,2016
154494.782,4519,2016
50736.47417,1206,2016
43292.14924,1029,2016
77335.9186,1917,2016
85070.23489,2108,2016
48831.66611,1211,2016
52075.15718,1291,2016
30424.72626,755,2016
20495.11303,508,2016
40742.17168,1010,2016
69864.83699,1733,2016
100120.7111,2482,2016
49825.09704,1235,2016
46566.46205,1155,2016
37923.76586,940,2016
50084.8127,1241,2016
41885.82828,1039,2016
147503.5732,3657,2016
151639.1838,3758,2016
72457.29759,1797,2016
67355.06118,1671,2016
58941.79283,1462,2016
58796.78502,1581,2016
57019.38967,1534,2016
155918.3826,4216,2016
208489.0903,5632,2016
118580.4726,3173,2016
142758.8811,3540,2016
96620.98693,2397,2016
78861.59494,1955,2016
70279.47439,1740,2016
87748.86289,2176,2016
92053.32577,2283,2016
51751.38325,1284,2016
50934.98319,1263,2016
36113.93487,896,2016
31023.35977,768,2016
22334.21253,521,2016
69440.9288,1618,2016
92159.02979,2147,2016
57296.28785,1335,2016
57184.94127,1332,2016
40951.10428,954,2016
37672.44729,877,2016
38648.13752,906,2016
96020.54537,2249,2016
105662.5942,2472,2016
54738.48352,1280,2016
40131.57351,940,2016
70402.99193,1650,2016
62501.7407,1467,2016
53675.21828,1257,2016
102606.327,2405,2016
124988.1555,2929,2016
67521.03749,1582,2016
70020.59601,1639,2016
126954.1702,2971,2016
97558.24705,2284,2016
97039.00987,2266,2016
168349.2653,3938,2016
202017.422,4720,2016
108459.0001,2537,2016
112536.3771,2621,2016
100479.93,2341,2016
81649.68867,1901,2016
71529.16264,1666,2016
160938.6016,3748,2016
164998.8446,3843,2016
97946.78305,2281,2016
87834.25368,2046,2016
95509.13498,2181,2016
77229.97189,1763,2016
